CompanyName,EmployeeCount,Locations,phone,Fax
PearlThoughts,2,"[{'_id': '68525131d62066154bfd00f1', 'address': {'city': 'Thoothukudi', 'complete': 'Ground Floor, Thoothukudi , Tamil Nadu, India', 'country': 'IN', 'state': 'Tamil Nadu', 'streetName': '', 'streetNumber': '', 'suite': 'Ground Floor', 'zip': ''}, 'location': {'lat': 8.764166099999999, 'lon': 78.1348361}, 'name': 'Thoothukudi', 'companyId': '68525131d62066154bfd00ed', 'phone': '', 'fax': '', 'employeesCount': 2}]",,
Methodist Healthcare,1,"[{'_id': '671bbfe256d2130043031d0c', 'address': {'complete': '8109 Fredericksburg Rd, San Antonio, TX 78229, USA', 'state': 'TX', 'city': 'San Antonio', 'country': 'US'}, 'location': {'lat': 29.5135345, 'lon': -98.5723592}, 'name': 'San Antonio', 'companyId': '671bbfe256d2130043031d0b', 'phone': '', 'fax': '', 'employeesCount': 1}]",,
Lighthouse Homes,1,"[{'_id': '62194829b0ffdd00a71e2498', 'address': {'city': 'Northfield', 'state': 'IL', 'country': 'US', 'complete': 'Northfield, IL, United States of America'}, 'location': {'lat': 42.09975, 'lon': -87.7808967}, 'name': 'Northfield', 'companyId': '62194829b0ffdd00a71e2494', 'phone': '', 'fax': '', 'employeesCount': 1}]",,
Your Thoughts,1,"[{'_id': '62e1421f2f72650089882d84', 'address': {'country': 'US', 'state': 'TX', 'complete': 'TX, United States of America'}, 'location': {'lat': 31.9685988, 'lon': -99.9018131}, 'name': 'TX, United States of America', 'companyId': '62e1421e2f72650089882d81', 'phone': '', 'fax': '', 'employeesCount': 1}]",,
Archethought Inc.,1,"[{'_id': '5ab2bfa1c4c980000e2492b5', 'address': {'complete': '350 Terry St #310, Longmont, CO 80501, USA', 'city': 'Longmont', 'streetNumber': '350', 'streetName': 'Terry Street', 'state': 'CO', 'country': 'US', 'zip': '80501'}, 'location': {'lat': 40.1652771, 'lon': -105.1047913}, 'name': 'Longmont', 'companyId': '5ab2bfa1c4c980000e2492b4', 'phone': '', 'fax': '+1 866-286-7188', 'employeesCount': 1}]",,+1 866-286-7188
KST Healthcare,1,"[{'_id': '5d233b46bfd50d003fbdd8d9', 'address': {'streetNumber': '6121', 'streetName': 'East 30th Street', 'city': 'Indianapolis', 'state': 'IN', 'country': 'US', 'zip': '46219', 'complete': '6121 E 30th St, Indianapolis, IN 46219, USA'}, 'location': {'lat': 39.8105075, 'lon': -86.06184189999999}, 'name': 'Indianapolis', 'companyId': '5d233b46bfd50d003fbdd8d8', 'phone': '', 'fax': '', 'employeesCount': 1}]",,
"SchoolofThought EDU, Inc. ",1,"[{'_id': '685a707d20e8ba5df93e4029', 'address': {'city': 'Los Angeles', 'complete': '20246 Saticoy Street; unit 205, Unit 205, Los Angeles, CA 91306, United States of America', 'country': 'US', 'state': 'CA', 'streetName': '20246 Saticoy Street; unit 205 ', 'suite': 'Unit 205', 'zip': '91306'}, 'location': {'lat': 34.2081319, 'lon': -118.5747372}, 'name': 'Los Angeles', 'companyId': '685a707d20e8ba5df93e4025', 'phone': '', 'fax': '', 'employeesCount': 1}]",,
Clear Choice Health Care,1,"[{'_id': '5f60b3dc75dc4100180289ed', 'address': {'complete': '709 S Harbor City Blvd #240, Melbourne, FL 32901, USA', 'state': 'FL', 'city': 'Melbourne', 'country': 'US'}, 'location': {'lat': 28.0978513, 'lon': -80.61113950000001}, 'name': 'Melbourne', 'companyId': '5f60b3dc75dc4100180289ec', 'phone': '', 'fax': '', 'employeesCount': 1}]",,
Doug House,1,"[{'_id': '6548e3c43c61e9003afd395c', 'address': {'country': 'US', 'suite': '6232 Hwy 81E', 'state': 'GA', 'city': 'Mcdonough', 'zip': '30252', 'complete': '6232 Hwy 81E, Mcdonough, GA 30252, United States of America'}, 'location': {'lat': 33.4473361, 'lon': -84.1468616}, 'name': 'Mcdonough', 'companyId': '6548e3c43c61e9003afd3959', 'phone': '+1 770-527-9756', 'fax': '', 'employeesCount': 1}]",+1 770-527-9756,
Northeast Home and Energy,1,"[{'_id': '5d4b5c8880ffe2002eb13ece', 'address': {'complete': '21 N Main St, North Grafton, MA 01536, USA', 'city': 'North Grafton', 'streetNumber': '21', 'streetName': 'North Main Street', 'state': 'MA', 'country': 'US', 'zip': '01536'}, 'location': {'lat': 42.2310904, 'lon': -71.7081754}, 'name': 'North Grafton', 'companyId': '5d4b5c8880ffe2002eb13ecd', 'phone': '', 'fax': '+1 508-839-0218', 'employeesCount': 1}]",,+1 508-839-0218
